,index,date,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0,2018-01-16 00:09:16.940377,0.4665,0.4262499999999999,0.09300000000000001,0.0,0.0,1.0,0.9857499999999999,0.0943444078113112,0.47324372305351264,0.4324118691351762,0
1,1,2018-02-01 00:09:07.083433,0.49074999999999996,0.409,0.08574999999999999,0.0,0.0,1.0,0.9854999999999999,0.08701166920345002,0.49797057331303907,0.4150177574835109,0
2,2,2018-02-17 00:09:01.976812,0.50625,0.394,0.08125,0.0,0.0,1.0,0.9815,0.08278145695364239,0.5157921548650025,0.40142638818135506,0
3,3,2018-03-05 00:08:54.336459,0.51725,0.3755,0.0885,0.0,0.0,1.0,0.98125,0.09019108280254777,0.5271337579617834,0.3826751592356688,0
4,4,2018-03-21 00:08:45.937021,0.5277499999999999,0.365,0.0885,0.0,0.0,1.0,0.98125,0.09019108280254777,0.5378343949044586,0.37197452229299366,0
5,5,2018-04-06 00:08:38.542500,0.5425000000000001,0.3475,0.0915,0.0,0.0,1.0,0.9815000000000002,0.09322465613856341,0.5527254202750892,0.35404992358634735,0
6,6,2018-04-22 00:08:29.012551,0.5457500000000001,0.34400000000000003,0.091,0.0,0.0,1.0,0.98075,0.09278613306143257,0.5564618914096355,0.35075197552893195,0
7,7,2018-05-08 00:08:20.037118,0.5635,0.326,0.09075,0.0,0.0,1.0,0.98025,0.09257842387146137,0.5748533537362918,0.3325682223922469,0
8,8,2018-05-24 00:08:08.223348,0.5912499999999999,0.31025,0.07725,0.0,0.0,1.0,0.97875,0.0789272030651341,0.6040868454661558,0.3169859514687101,0
9,9,2018-06-25 00:08:14.128035,0.58525,0.24450000000000002,0.10125000000000002,0.05,0.0,0.95,0.9310000000000002,0.10331632653061225,0.5971938775510203,0.24948979591836734,0
10,11,2018-07-27 00:08:28.778186,0.5795,0.28950000000000004,0.11074999999999999,0.0,0.0,1.0,0.97975,0.11303904057157436,0.5914774177085992,0.2954835417198265,0
11,12,2018-08-12 00:08:38.464212,0.56925,0.30524999999999997,0.1075,0.0,0.0,1.0,0.9820000000000001,0.10947046843177188,0.5796843177189409,0.3108452138492871,0
12,13,2018-08-28 00:08:45.987519,0.50575,0.373,0.10400000000000001,0.0,0.0,1.0,0.98275,0.10582548969727805,0.514627321292292,0.3795471890104299,0
13,14,2018-09-13 00:08:51.104027,0.47074999999999995,0.40449999999999997,0.1085,0.0,0.0,1.0,0.9837499999999999,0.11029224904701398,0.47852604828462514,0.41118170266836085,0
14,15,2018-09-29 00:08:57.436022,0.45199999999999996,0.41674999999999995,0.11524999999999999,0.0,0.0,1.0,0.9839999999999999,0.1171239837398374,0.45934959349593496,0.42352642276422764,0
15,17,2018-10-31 00:09:08.912292,0.3715,0.5125,0.1015,0.0,0.0,1.0,0.9854999999999999,0.10299340436326739,0.37696600710299344,0.5200405885337392,0
16,18,2018-11-16 00:09:10.449271,0.3695,0.49924999999999997,0.11775,0.0,0.0,1.0,0.9864999999999999,0.1193613786112519,0.3745565129244805,0.5060821084642676,0
17,19,2018-12-02 00:09:09.020636,0.40675,0.492,0.08625000000000001,0.0,0.0,1.0,0.985,0.08756345177664976,0.41294416243654825,0.49949238578680205,0
18,20,2018-12-18 00:09:06.585180,0.36524999999999996,0.50025,0.097,0.0,0.025,0.975,0.9624999999999999,0.09825974025974027,0.3699935064935065,0.5067467532467532,0
19,21,2019-01-03 00:09:06.455172,0.39824999999999994,0.4835,0.10425000000000002,0.0,0.0,1.0,0.986,0.10573022312373227,0.40390466531440156,0.49036511156186613,0
20,22,2019-01-19 00:09:03.514993,0.46274999999999994,0.43550000000000005,0.08625000000000001,0.0,0.0,1.0,0.9845,0.08760792280345353,0.47003555104113753,0.4423565261554089,0
21,24,2019-02-20 00:08:57.733780,0.546,0.36425,0.07125,0.0,0.0,1.0,0.9815,0.07259296994396332,0.5562913907284769,0.37111563932755987,0
22,28,2019-04-25 00:08:37.449457,0.596,0.324,0.060250000000000005,0.0,0.0,1.0,0.98025,0.061463912267278764,0.6080081611833716,0.3305279265493497,0
23,30,2019-05-27 00:08:55.388517,0.6345,0.2605,0.05825,0.025,0.0,0.975,0.95325,0.059579071597167584,0.6489771833202203,0.2664437450826121,0
24,31,2019-06-28 00:09:07.688160,0.63525,0.25375000000000003,0.06575,0.025,0.0,0.975,0.95475,0.06714454045561666,0.6487234878240377,0.2591319717203457,0
25,32,2019-07-30 00:09:16.532762,0.26975,0.10625,0.041,0.575,0.0,0.42500000000000004,0.417,0.041786570743405284,0.27492505995203836,0.10828836930455638,0
26,33,2019-08-15 00:09:22.279891,0.5860000000000001,0.30300000000000005,0.0915,0.0,0.0,1.0,0.9805000000000001,0.09331973482916878,0.5976542580316165,0.3090260071392147,0
