,index,date,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0,2018-01-16 00:09:16.940377,0.5376744186046511,0.38627906976744186,0.05906976744186047,0.0,0.0,1.0,0.9830232558139534,0.06008989827300686,0.5469600189259523,0.39295008280104093,0
1,1,2018-02-01 00:09:07.083433,0.5474418604651162,0.37279069767441864,0.06279069767441861,0.0,0.0,1.0,0.9830232558139534,0.063875088715401,0.5568961438372367,0.3792287674473622,0
2,2,2018-02-17 00:09:01.976812,0.5611627906976744,0.36627906976744184,0.055116279069767446,0.0,0.0,1.0,0.9825581395348837,0.056094674556213024,0.5711242603550296,0.3727810650887574,0
3,3,2018-03-05 00:08:54.336459,0.565813953488372,0.3530232558139535,0.06372093023255815,0.0,0.0,1.0,0.9825581395348837,0.06485207100591717,0.5758579881656805,0.3592899408284024,0
4,4,2018-03-21 00:08:45.937021,0.5706976744186046,0.35581395348837214,0.05325581395348837,0.0,0.0,1.0,0.979767441860465,0.054355566104913364,0.582482791360076,0.36316164253501076,0
5,5,2018-04-06 00:08:38.542500,0.5909302325581396,0.33930232558139534,0.048604651162790696,0.0,0.0,1.0,0.9788372093023257,0.04965550011879306,0.6037063435495367,0.34663815633167017,0
6,6,2018-04-22 00:08:29.012551,0.5704651162790697,0.31093023255813956,0.052558139534883724,0.046511627906976744,0.0,0.9534883720930233,0.933953488372093,0.05365746317057353,0.5823971555637913,0.3174337533586584,0
7,7,2018-05-08 00:08:20.037118,0.5513953488372093,0.29418604651162794,0.0427906976744186,0.09302325581395349,0.0,0.9069767441860466,0.8883720930232558,0.04368683793985145,0.5629428954097164,0.3003470108364788,0
8,8,2018-05-24 00:08:08.223348,0.5211627906976745,0.25209302325581395,0.02488372093023256,0.18604651162790697,0.0,0.813953488372093,0.798139534883721,0.025376755027917818,0.531488859977232,0.2570878733669431,0
9,9,2018-06-25 00:08:14.128035,0.2574418604651163,0.1088372093023256,0.020697674418604654,0.6046511627906976,0.0,0.39534883720930236,0.38697674418604655,0.021145460644007158,0.26301151610017887,0.11119186046511628,0
10,10,2018-07-11 00:08:22.534426,0.4020930232558139,0.17790697674418607,0.03465116279069768,0.37209302325581395,0.0,0.627906976744186,0.6146511627906976,0.03539846369083759,0.4107647229628065,0.18174379009054198,0
11,11,2018-07-27 00:08:28.778186,0.5527906976744187,0.26116279069767445,0.0513953488372093,0.11627906976744186,0.0,0.8837209302325582,0.8653488372093024,0.05248651587782729,0.5645269151203415,0.26670749923438936,0
12,12,2018-08-12 00:08:38.464212,0.5241860465116279,0.24186046511627907,0.05302325581395349,0.16279069767441862,0.0,0.8372093023255813,0.8190697674418604,0.05419753575531873,0.5357949368091597,0.24721682976110296,0
13,13,2018-08-28 00:08:45.987519,0.5748837209302325,0.33930232558139534,0.06744186046511629,0.0,0.0,1.0,0.9816279069767441,0.06870409855484484,0.5856432125088842,0.34565268893627105,0
14,14,2018-09-13 00:08:51.104027,0.5362790697674419,0.3651162790697674,0.08069767441860466,0.0,0.0,1.0,0.9820930232558139,0.08216907411792566,0.5460573052332466,0.3717736206488278,0
15,15,2018-09-29 00:08:57.436022,0.5304651162790698,0.37790697674418605,0.0730232558139535,0.0,0.0,1.0,0.9813953488372094,0.07440758293838863,0.540521327014218,0.38507109004739337,0
16,17,2018-10-31 00:09:08.912292,0.4562790697674418,0.4541860465116279,0.07372093023255814,0.0,0.0,1.0,0.9841860465116279,0.07490548204158791,0.46361058601134214,0.46148393194706994,0
17,18,2018-11-16 00:09:10.449271,0.45162790697674415,0.4513953488372092,0.0827906976744186,0.0,0.0,1.0,0.985813953488372,0.08398207124321774,0.4581269167256429,0.4578910120311394,0
18,19,2018-12-02 00:09:09.020636,0.44162790697674426,0.4362790697674418,0.10697674418604651,0.0,0.0,1.0,0.9848837209302326,0.10861865407319952,0.44840613931523027,0.4429752066115702,0
19,20,2018-12-18 00:09:06.585180,0.447906976744186,0.4688372093023256,0.06883720930232558,0.0,0.0,1.0,0.9855813953488372,0.06984426616328457,0.4544596507786692,0.4756960830580463,0
20,21,2019-01-03 00:09:06.455172,0.4388372093023256,0.47186046511627905,0.07511627906976744,0.0,0.0,1.0,0.9858139534883721,0.07619721632460486,0.44515215852795476,0.4786506251474404,0
21,22,2019-01-19 00:09:03.514993,0.487906976744186,0.4304651162790698,0.06604651162790698,0.0,0.0,1.0,0.9844186046511627,0.06709189699976377,0.49562957713205763,0.43727852586817867,0
22,23,2019-02-04 00:09:00.165996,0.4530232558139536,0.4476744186046512,0.08093023255813954,0.0,0.0,1.0,0.9816279069767444,0.08244491826581378,0.4615020137408197,0.4560530679933664,0
23,24,2019-02-20 00:08:57.733780,0.5179069767441861,0.4069767441860465,0.05953488372093024,0.0,0.0,1.0,0.9844186046511627,0.06047720292936453,0.5261044176706828,0.4134183793999528,0
24,27,2019-04-09 00:08:44.355504,0.5402325581395349,0.3846511627906977,0.0558139534883721,0.0,0.0,1.0,0.9806976744186047,0.056912497035807454,0.5508655442257528,0.3922219587384397,0
25,28,2019-04-25 00:08:37.449457,0.5588372093023256,0.3695348837209302,0.052558139534883724,0.0,0.0,1.0,0.9809302325581395,0.05357989568515885,0.569701280227596,0.3767188240872451,0
26,29,2019-05-11 00:08:45.859080,0.5090697674418605,0.2779069767441861,0.05627906976744186,0.13953488372093023,0.0,0.8604651162790697,0.8432558139534885,0.05742762221167536,0.5194589463692454,0.283578547698149,0
27,30,2019-05-27 00:08:55.388517,0.5411627906976745,0.29232558139534887,0.05627906976744187,0.09302325581395349,0.0,0.9069767441860466,0.8897674418604652,0.057367582878469235,0.5516296089181731,0.2979795523894042,0
28,31,2019-06-28 00:09:07.688160,0.5511627906976745,0.26651162790697674,0.04930232558139535,0.11627906976744186,0.0,0.8837209302325582,0.8669767441860465,0.05025451641880427,0.561807565625312,0.27165884818844194,0
