,index,date,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0,2018-01-16 00:09:16.940377,0.43609756097560975,0.4790243902439025,0.07146341463414634,0.0,0.0,1.0,0.9865853658536585,0.07243510506798516,0.44202719406674906,0.4855377008652658,0
1,1,2018-02-01 00:09:07.083433,0.45634146341463416,0.46146341463414636,0.06682926829268293,0.0,0.0,1.0,0.9846341463414634,0.0678721823135992,0.46346296755016103,0.4686648501362398,0
2,2,2018-02-17 00:09:01.976812,0.4543902439024391,0.45536585365853655,0.07707317073170732,0.0,0.0,1.0,0.9868292682926829,0.07810182896688087,0.4604547701433515,0.46144340088976765,0
3,3,2018-03-05 00:08:54.336459,0.4648780487804879,0.43268292682926834,0.08878048780487806,0.0,0.0,1.0,0.9863414634146342,0.09000989119683482,0.4713155291790307,0.43867457962413453,0
4,4,2018-03-21 00:08:45.937021,0.47268292682926827,0.43268292682926834,0.07926829268292683,0.0,0.0,1.0,0.9846341463414634,0.08050532573693336,0.48005945008669804,0.43943522417636866,0
5,5,2018-04-06 00:08:38.542500,0.48243902439024394,0.4302439024390244,0.0721951219512195,0.0,0.0,1.0,0.9848780487804878,0.07330361565131252,0.48984645864289256,0.43684992570579495,0
6,6,2018-04-22 00:08:29.012551,0.48487804878048785,0.4290243902439024,0.07048780487804879,0.0,0.0,1.0,0.984390243902439,0.07160555004955402,0.4925668979187315,0.4358275520317145,0
7,7,2018-05-08 00:08:20.037118,0.5029268292682926,0.41121951219512193,0.07048780487804879,0.0,0.0,1.0,0.9846341463414634,0.0715878127322269,0.5107753282140202,0.41763685905375275,0
8,8,2018-05-24 00:08:08.223348,0.5241463414634145,0.3965853658536585,0.06365853658536585,0.0,0.0,1.0,0.984390243902439,0.06466798810703667,0.5324578790882061,0.40287413280475715,0
9,9,2018-06-25 00:08:14.128035,0.5285365853658537,0.36609756097560975,0.08731707317073172,0.0,0.0,1.0,0.9819512195121951,0.08892200695479385,0.5382513661202186,0.3728266269249876,0
10,10,2018-07-11 00:08:22.534426,0.5014634146341463,0.37682926829268293,0.10585365853658536,0.0,0.0,1.0,0.9841463414634146,0.10755885997521684,0.509541511771995,0.3828996282527881,0
11,11,2018-07-27 00:08:28.778186,0.515609756097561,0.38195121951219513,0.08536585365853659,0.0,0.0,1.0,0.9829268292682927,0.08684863523573202,0.5245657568238213,0.38858560794044666,0
12,12,2018-08-12 00:08:38.464212,0.5024390243902439,0.4146341463414634,0.06780487804878049,0.0,0.0,1.0,0.9848780487804878,0.06884596334819218,0.5101535413571074,0.42100049529470035,0
13,13,2018-08-28 00:08:45.987519,0.46902439024390247,0.43707317073170737,0.07926829268292683,0.0,0.0,1.0,0.9853658536585367,0.08044554455445543,0.47599009900990097,0.44356435643564357,0
14,14,2018-09-13 00:08:51.104027,0.4304878048780487,0.4721951219512195,0.08219512195121952,0.0,0.0,1.0,0.9848780487804877,0.08345715700842002,0.4370975730559683,0.4794452699356117,0
15,15,2018-09-29 00:08:57.436022,0.4209756097560975,0.47707317073170735,0.08902439024390245,0.0,0.0,1.0,0.9870731707317072,0.09019026439337784,0.42648875710402767,0.4833209785025946,0
16,17,2018-10-31 00:09:08.912292,0.34682926829268296,0.538780487804878,0.10097560975609758,0.0,0.0,1.0,0.9865853658536584,0.10234857849196542,0.3515451174289247,0.54610630407911,0
17,18,2018-11-16 00:09:10.449271,0.3595121951219512,0.5295121951219512,0.09878048780487807,0.0,0.0,1.0,0.9878048780487805,0.10000000000000002,0.3639506172839506,0.5360493827160494,0
18,19,2018-12-02 00:09:09.020636,0.39560975609756094,0.48341463414634145,0.10658536585365853,0.0,0.0,1.0,0.9856097560975609,0.10814154912150459,0.40138579559514975,0.49047265528334577,0
19,20,2018-12-18 00:09:06.585180,0.3529268292682927,0.5475609756097561,0.08707317073170733,0.0,0.0,1.0,0.9875609756097562,0.08816991849839466,0.35737219066436154,0.5544578908372437,0
20,21,2019-01-03 00:09:06.455172,0.36341463414634145,0.5236585365853659,0.09951219512195122,0.0,0.0,1.0,0.9865853658536585,0.10086526576019778,0.3683559950556242,0.5307787391841781,0
21,22,2019-01-19 00:09:03.514993,0.3795121951219512,0.5075609756097561,0.09878048780487804,0.0,0.0,1.0,0.9858536585365854,0.10019792182088075,0.38495794161306285,0.5148441365660564,0
22,23,2019-02-04 00:09:00.165996,0.42756097560975614,0.4673170731707316,0.09121951219512196,0.0,0.0,1.0,0.9860975609756096,0.09250556517437548,0.43358891911946584,0.47390551570615874,0
23,24,2019-02-20 00:08:57.733780,0.4239024390243903,0.48463414634146335,0.07853658536585366,0.0,0.0,1.0,0.9870731707317072,0.07956510995799358,0.4294539164813443,0.4909809735606622,0
24,27,2019-04-09 00:08:44.355504,0.4631707317073171,0.4226829268292682,0.09951219512195122,0.0,0.0,1.0,0.9853658536585365,0.10099009900990101,0.47004950495049513,0.42896039603960395,0
25,28,2019-04-25 00:08:37.449457,0.4729268292682927,0.44121951219512195,0.07048780487804877,0.0,0.0,1.0,0.9846341463414634,0.07158781273222689,0.4803071587812733,0.4481050284864999,0
26,29,2019-05-11 00:08:45.859080,0.4609756097560975,0.4204878048780488,0.10146341463414635,0.0,0.0,1.0,0.9829268292682927,0.10322580645161292,0.46898263027295284,0.4277915632754343,0
27,30,2019-05-27 00:08:55.388517,0.516341463414634,0.40121951219512203,0.06634146341463414,0.0,0.0,1.0,0.9839024390243901,0.06742687159147248,0.5247892910262766,0.407783837382251,0
28,31,2019-06-28 00:09:07.688160,0.5153658536585366,0.4121951219512195,0.05756097560975611,0.0,0.0,1.0,0.9851219512195122,0.05843030453082447,0.523149294379797,0.41842040108937856,0
29,32,2019-07-30 00:09:16.532762,0.5507317073170731,0.3504878048780488,0.08170731707317072,0.0,0.0,1.0,0.9829268292682926,0.08312655086848635,0.5602977667493797,0.35657568238213405,0
30,33,2019-08-15 00:09:22.279891,0.5168292682926828,0.39439024390243904,0.0721951219512195,0.0,0.0,1.0,0.9834146341463413,0.07341269841269842,0.5255456349206349,0.40104166666666674,0
31,34,2019-08-31 00:09:26.088895,0.4775609756097561,0.4202439024390244,0.08682926829268293,0.0,0.0,1.0,0.9846341463414633,0.08818429526876395,0.4850136239782017,0.4268020807530345,0
32,36,2019-10-02 00:09:35.726140,0.3846341463414634,0.5080487804878049,0.09390243902439026,0.0,0.0,1.0,0.9865853658536585,0.09517923362175527,0.38986402966625466,0.5149567367119902,0
33,37,2019-10-18 00:09:37.926703,0.3646341463414634,0.5326829268292682,0.08926829268292684,0.0,0.0,1.0,0.9865853658536584,0.0904820766378245,0.36959208899876395,0.5399258343634116,0
34,38,2019-11-19 00:09:34.004270,0.3041463414634146,0.575609756097561,0.10804878048780488,0.0,0.0,1.0,0.9878048780487806,0.1093827160493827,0.3079012345679012,0.582716049382716,0
35,39,2019-12-05 00:09:33.231447,0.31585365853658537,0.5702439024390245,0.10170731707317075,0.0,0.0,1.0,0.9878048780487806,0.10296296296296298,0.31975308641975303,0.577283950617284,0
36,40,2020-01-22 00:09:22.956332,0.35121951219512193,0.5348780487804878,0.10121951219512196,0.0,0.0,1.0,0.9873170731707317,0.10251976284584981,0.3557312252964427,0.5417490118577075,0
37,41,2020-02-07 00:09:17.619432,0.30634146341463414,0.6226829268292683,0.058536585365853655,0.0,0.0,1.0,0.9875609756097561,0.059273894788836747,0.3102000493949123,0.630526055816251,0
38,42,2020-02-23 00:09:14.210241,0.4036585365853659,0.4907317073170732,0.09048780487804878,0.0,0.0,1.0,0.9848780487804879,0.09187716691431401,0.40985636453689944,0.49826646854878653,0
39,44,2020-03-26 00:08:59.755154,0.45902439024390246,0.4273170731707317,0.09878048780487804,0.0,0.0,1.0,0.9851219512195122,0.10027234463976231,0.46595692002971034,0.43377073533052735,0
40,46,2020-04-27 00:08:44.472092,0.5085365853658537,0.40975609756097553,0.06487804878048781,0.0,0.0,1.0,0.9831707317073171,0.06598858843959315,0.5172413793103449,0.41677003225006193,0
41,47,2020-05-13 00:08:38.808720,0.0,0.0,0.0,0.9512195121951219,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0
42,48,2020-05-29 00:08:42.001792,0.5275609756097561,0.37951219512195117,0.07585365853658538,0.0,0.0,1.0,0.9829268292682927,0.07717121588089332,0.5367245657568238,0.3861042183622828,0
43,49,2020-06-14 00:08:52.343094,0.4480487804878049,0.12439024390243901,0.4163414634146341,0.0,0.0,1.0,0.988780487804878,0.42106561420818944,0.4531327084361125,0.12580167735569805,0
44,50,2020-06-30 00:09:00.559818,0.5282926829268293,0.37243902439024396,0.0824390243902439,0.0,0.0,1.0,0.9831707317073172,0.0838501612503101,0.5373356487224014,0.37881419002728856,0
45,53,2020-08-17 00:09:15.945742,0.5085365853658537,0.38707317073170733,0.08804878048780489,0.0,0.0,1.0,0.9836585365853658,0.08951152987850236,0.5169848747830399,0.39350359533845775,0
46,57,2020-10-20 00:09:34.421764,0.4021951219512195,0.501219512195122,0.08341463414634147,0.0,0.0,1.0,0.9868292682926828,0.08452792881858627,0.40756302521008403,0.5079090459713298,0
47,58,2020-11-21 00:09:33.175996,0.33902439024390246,0.5290243902439025,0.11804878048780487,0.0,0.0,1.0,0.9860975609756099,0.1197130843433094,0.3438041058619837,0.5364828097947069,0
48,60,2020-12-23 00:09:33.702305,0.3753658536585366,0.5280487804878048,0.08560975609756097,0.0,0.0,1.0,0.9890243902439023,0.08655980271270038,0.37953144266337857,0.5339087546239211,0
49,61,2021-01-08 00:09:28.236068,0.3546341463414634,0.5417073170731708,0.09097560975609756,0.0,0.0,1.0,0.9873170731707317,0.09214426877470355,0.3591897233201581,0.5486660079051384,0
50,63,2021-02-09 00:09:20.495604,0.3931707317073171,0.5219512195121951,0.07365853658536586,0.0,0.0,1.0,0.988780487804878,0.07449432659102122,0.3976319684262457,0.5278737049827331,0
51,64,2021-02-25 00:09:15.243889,0.408780487804878,0.4963414634146342,0.08195121951219513,0.0,0.0,1.0,0.9870731707317073,0.08302446256486287,0.4141339263652088,0.5028416110699284,0
52,65,2021-03-13 00:09:06.655501,0.41756097560975614,0.49878048780487805,0.07097560975609757,0.0,0.0,1.0,0.9873170731707317,0.07188735177865614,0.4229249011857708,0.5051877470355731,0
53,66,2021-03-29 00:09:01.573921,0.43121951219512195,0.48829268292682926,0.06951219512195121,0.0,0.0,1.0,0.9890243902439023,0.07028360049321825,0.4360049321824908,0.49371146732429105,0
54,68,2021-04-30 00:08:47.554868,0.4273170731707317,0.4804878048780489,0.07878048780487806,0.0,0.0,1.0,0.9865853658536587,0.07985166872682324,0.43312731767614326,0.48702101359703337,0
55,73,2021-09-05 00:09:29.127387,0.4117073170731707,0.3778048780487805,0.09829268292682927,0.0975609756097561,0.0,0.9024390243902439,0.8878048780487805,0.09991289198606274,0.41849370142053066,0.3840324309836505,0
