,index,date,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0,2018-01-16 00:09:16.940377,0.51775,0.38249999999999995,0.08349999999999999,0.0,0.0,1.0,0.98375,0.0848792884371029,0.526302414231258,0.3888182973316391,0
1,1,2018-02-01 00:09:07.083433,0.54525,0.36024999999999996,0.07625,0.0,0.0,1.0,0.98175,0.07766743060860708,0.5553857906799083,0.36694677871148457,0
2,2,2018-02-17 00:09:01.976812,0.54875,0.361,0.07325,0.0,0.0,1.0,0.983,0.07451678535096642,0.5582400813835198,0.3672431332655137,0
3,3,2018-03-05 00:08:54.336459,0.554,0.34225000000000005,0.08525,0.0,0.0,1.0,0.9815000000000002,0.08685685175751401,0.5644421803362201,0.3487009679062659,0
4,4,2018-03-21 00:08:45.937021,0.5650000000000001,0.34950000000000003,0.0665,0.0,0.0,1.0,0.9810000000000001,0.06778797145769623,0.5759429153924567,0.3562691131498471,0
5,5,2018-04-06 00:08:38.542500,0.556,0.3035,0.07250000000000001,0.05,0.0,0.95,0.932,0.07390021459227468,0.5667381974248927,0.30936158798283253,0
6,6,2018-04-22 00:08:29.012551,0.53575,0.28124999999999994,0.066,0.1,0.0,0.9,0.883,0.06727066817667045,0.5460645526613817,0.2866647791619479,0
7,7,2018-05-08 00:08:20.037118,0.4557500000000001,0.22200000000000003,0.05625000000000001,0.25,0.0,0.75,0.7340000000000001,0.057476158038147145,0.46568460490463226,0.22683923705722073,0
8,8,2018-05-24 00:08:08.223348,0.4887499999999999,0.20875000000000005,0.037,0.25,0.0,0.75,0.7345,0.03778080326752893,0.4990639891082368,0.21315520762423423,0
9,9,2018-06-25 00:08:14.128035,0.22125000000000003,0.08875,0.0325,0.65,0.0,0.35,0.3425,0.03321167883211679,0.22609489051094891,0.09069343065693429,0
10,10,2018-07-11 00:08:22.534426,0.24025000000000002,0.11650000000000002,0.035750000000000004,0.6,0.0,0.4,0.3925,0.03643312101910828,0.2448407643312102,0.11872611464968155,0
11,11,2018-07-27 00:08:28.778186,0.4995,0.22025,0.06375,0.2,0.0,0.8,0.7835,0.0650925335035099,0.5100191448627952,0.224888321633695,0
12,12,2018-08-12 00:08:38.464212,0.52675,0.22875,0.07749999999999999,0.15,0.0,0.85,0.8330000000000001,0.0790816326530612,0.5375,0.23341836734693877,0
13,13,2018-08-28 00:08:45.987519,0.529,0.27899999999999997,0.07475,0.1,0.0,0.9,0.88275,0.07621070518266779,0.5393372982158029,0.2844519966015293,0
14,14,2018-09-13 00:08:51.104027,0.505,0.30874999999999997,0.09425,0.075,0.0,0.925,0.9079999999999999,0.09601459251101324,0.514454845814978,0.31453056167400884,0
15,15,2018-09-29 00:08:57.436022,0.5127499999999999,0.3525,0.0915,0.0,0.025,0.975,0.9567499999999999,0.09324536190227332,0.5225307029004442,0.35922393519728246,0
16,17,2018-10-31 00:09:08.912292,0.45150000000000007,0.3857499999999999,0.09824999999999999,0.05,0.0,0.95,0.9355,0.09977284874398716,0.4584981293425976,0.3917290219134152,0
17,18,2018-11-16 00:09:10.449271,0.4422499999999999,0.39325,0.10000000000000002,0.05,0.0,0.95,0.9354999999999999,0.10154997327632286,0.44910475681453765,0.3993452699091395,0
18,20,2018-12-18 00:09:06.585180,0.4,0.43199999999999994,0.10275000000000001,0.05,0.0,0.95,0.93475,0.10442631719711154,0.40652580903985025,0.43904787376303817,0
19,21,2019-01-03 00:09:06.455172,0.4647499999999999,0.4245000000000001,0.0955,0.0,0.0,1.0,0.98475,0.09697892866209698,0.47194719471947183,0.43107387661843116,0
20,22,2019-01-19 00:09:03.514993,0.51075,0.372,0.09925,0.0,0.0,1.0,0.982,0.10106924643584522,0.5201120162932791,0.3788187372708758,0
21,24,2019-02-20 00:08:57.733780,0.5485,0.341,0.0675,0.025,0.0,0.975,0.957,0.06876959247648903,0.5588166144200627,0.34741379310344833,0
22,27,2019-04-09 00:08:44.355504,0.571,0.306,0.05525,0.05,0.0,0.95,0.93225,0.056301957629391254,0.581871815500134,0.3118262268704747,0
23,28,2019-04-25 00:08:37.449457,0.46425,0.227,0.044000000000000004,0.25,0.0,0.75,0.7352500000000001,0.044882692961577694,0.47356341380482825,0.231553893233594,0
24,29,2019-05-11 00:08:45.859080,0.2245,0.11374999999999999,0.029500000000000005,0.625,0.0,0.375,0.36775,0.030081577158395652,0.22892590074779062,0.11599252209381372,0
25,31,2019-06-28 00:09:07.688160,0.186,0.0875,0.02075,0.7,0.0,0.30000000000000004,0.29424999999999996,0.02115548003398471,0.1896346644010196,0.08920985556499578,0
26,32,2019-07-30 00:09:16.532762,0.14825,0.05675,0.0155,0.775,0.0,0.22499999999999998,0.22049999999999997,0.015816326530612244,0.15127551020408161,0.05790816326530613,0
27,33,2019-08-15 00:09:22.279891,0.17650000000000002,0.0955,0.0225,0.7,0.0,0.30000000000000004,0.29450000000000004,0.02292020373514431,0.17979626485568764,0.09728353140916808,0
28,34,2019-08-31 00:09:26.088895,0.356,0.18400000000000002,0.04925,0.4,0.0,0.6,0.58925,0.05014849384811201,0.36249469664828166,0.1873568095036063,0
29,35,2019-09-16 00:09:31.091535,0.35025641025641024,0.19051282051282054,0.11666666666666667,0.3333333333333333,0.0,0.6666666666666667,0.6574358974358975,0.11830473218928758,0.3551742069682787,0.19318772750910038,0
30,36,2019-10-02 00:09:35.726140,0.3595,0.25225,0.07625,0.3,0.0,0.7,0.6880000000000001,0.0775799418604651,0.36577034883720927,0.25664970930232556,0
31,37,2019-10-18 00:09:37.926703,0.39499999999999996,0.30274999999999996,0.087,0.175,0.025,0.8,0.7847499999999998,0.08869066581713923,0.4026760114686207,0.30863332271424027,0
32,38,2019-11-19 00:09:34.004270,0.42924999999999996,0.4465,0.10925,0.0,0.0,1.0,0.985,0.11091370558375635,0.43578680203045683,0.4532994923857868,0
33,39,2019-12-05 00:09:33.231447,0.43499999999999994,0.437,0.1125,0.0,0.0,1.0,0.9844999999999999,0.11427120365667853,0.4418486541391569,0.4438801422041646,0
