,index,date,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0,2018-01-16 00:09:16.940377,0.43261904761904757,0.4640476190476191,0.08952380952380953,0.0,0.0,1.0,0.9861904761904763,0.0907774022211492,0.4386769676484789,0.4705456301303718,0
1,1,2018-02-01 00:09:07.083433,0.4495238095238096,0.4504761904761904,0.08595238095238095,0.0,0.0,1.0,0.9859523809523809,0.08717701038396522,0.4559285196812365,0.4568944699347983,0
2,2,2018-02-17 00:09:01.976812,0.4523809523809524,0.44452380952380954,0.09000000000000001,0.0,0.0,1.0,0.9869047619047618,0.09119420989143548,0.45838359469240053,0.45042219541616413,0
3,3,2018-03-05 00:08:54.336459,0.4678571428571428,0.4145238095238095,0.10238095238095239,0.0,0.0,1.0,0.9847619047619046,0.10396518375241783,0.4750967117988395,0.4209381044487428,0
4,4,2018-03-21 00:08:45.937021,0.4776190476190476,0.42095238095238097,0.08642857142857142,0.0,0.0,1.0,0.985,0.0877447425670776,0.4848924341310128,0.4273628233019096,0
5,5,2018-04-06 00:08:38.542500,0.48761904761904756,0.415,0.0830952380952381,0.0,0.0,1.0,0.9857142857142857,0.08429951690821257,0.49468599033816424,0.4210144927536232,0
6,6,2018-04-22 00:08:29.012551,0.47785714285714287,0.430952380952381,0.07738095238095238,0.0,0.0,1.0,0.9861904761904763,0.07846450989859971,0.4845485272815065,0.43698696281989374,0
7,7,2018-05-08 00:08:20.037118,0.4826190476190476,0.429047619047619,0.0738095238095238,0.0,0.0,1.0,0.9854761904761904,0.07489731819280018,0.48973181928001935,0.4353708625271805,0
8,8,2018-05-24 00:08:08.223348,0.48999999999999994,0.42595238095238097,0.06857142857142857,0.0,0.0,1.0,0.9845238095238095,0.06964933494558646,0.49770253929866987,0.4326481257557437,0
9,9,2018-06-25 00:08:14.128035,0.49547619047619046,0.4266666666666667,0.06214285714285715,0.0,0.0,1.0,0.9842857142857143,0.06313497822931786,0.5033865505563618,0.43347847121432026,0
10,10,2018-07-11 00:08:22.534426,0.4961904761904761,0.3902380952380953,0.09833333333333333,0.0,0.0,1.0,0.9847619047619047,0.0998549323017408,0.5038684719535783,0.3962765957446809,0
11,11,2018-07-27 00:08:28.778186,0.4919047619047619,0.43523809523809526,0.060476190476190475,0.0,0.0,1.0,0.9876190476190476,0.06123432979749276,0.4980713596914175,0.4406943105110897,0
