,index,date,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0,2018-01-16 00:09:16.940377,0.495945945945946,0.4018918918918919,0.08567567567567567,0.0,0.0,1.0,0.9835135135135136,0.08711184391316296,0.5042594119263534,0.4086287441604836,0
1,1,2018-02-01 00:09:07.083433,0.5243243243243243,0.3835135135135135,0.07648648648648648,0.0,0.0,1.0,0.9843243243243243,0.07770455793520044,0.5326743547501372,0.3896210873146623,0
2,2,2018-02-17 00:09:01.976812,0.5332432432432432,0.3724324324324324,0.07702702702702702,0.0,0.0,1.0,0.9827027027027027,0.07838283828382837,0.5426292629262927,0.378987898789879,0
3,3,2018-03-05 00:08:54.336459,0.5327027027027027,0.3559459459459459,0.09054054054054055,0.0,0.0,1.0,0.9791891891891892,0.09246480817002485,0.5440242892630417,0.36351090256693347,0
4,4,2018-03-21 00:08:45.937021,0.5513513513513513,0.3608108108108108,0.06891891891891891,0.0,0.0,1.0,0.9810810810810809,0.07024793388429752,0.5619834710743802,0.36776859504132237,0
5,5,2018-04-06 00:08:38.542500,0.5654054054054054,0.3505405405405405,0.0654054054054054,0.0,0.0,1.0,0.9813513513513513,0.06664830625172129,0.5761498209859544,0.3572018727623244,0
6,6,2018-04-22 00:08:29.012551,0.5756756756756757,0.3410810810810811,0.06513513513513514,0.0,0.0,1.0,0.9818918918918919,0.066336361134049,0.5862923203963667,0.3473713184695844,0
7,7,2018-05-08 00:08:20.037118,0.5854054054054054,0.33594594594594596,0.058918918918918914,0.0,0.0,1.0,0.9802702702702702,0.060104769782189135,0.597187758478081,0.3427074717397298,0
8,8,2018-05-24 00:08:08.223348,0.6156756756756757,0.3151351351351352,0.04891891891891892,0.0,0.0,1.0,0.9797297297297298,0.04993103448275862,0.6284137931034482,0.32165517241379316,0
9,9,2018-06-25 00:08:14.128035,0.5472972972972973,0.23027027027027025,0.07054054054054056,0.13513513513513514,0.0,0.8648648648648649,0.8481081081081081,0.07193426696294768,0.5581106919539042,0.23481990594801302,0
10,10,2018-07-11 00:08:22.534426,0.5916216216216217,0.27945945945945944,0.08243243243243244,0.02702702702702703,0.0,0.972972972972973,0.9535135135135137,0.08411472697186982,0.6036955322669608,0.28516271373414226,0
11,11,2018-07-27 00:08:28.778186,0.5824324324324325,0.32,0.07756756756756757,0.0,0.0,1.0,0.98,0.07915057915057915,0.5943188086045229,0.326530612244898,0
12,12,2018-08-12 00:08:38.464212,0.568918918918919,0.3362162162162162,0.07594594594594595,0.0,0.0,1.0,0.9810810810810812,0.07741046831955922,0.5798898071625345,0.3426997245179063,0
13,13,2018-08-28 00:08:45.987519,0.5318918918918919,0.3840540540540541,0.0664864864864865,0.0,0.0,1.0,0.9824324324324325,0.06767537826685008,0.5414030261348005,0.3909215955983494,0
14,14,2018-09-13 00:08:51.104027,0.5045945945945947,0.41216216216216217,0.06810810810810812,0.0,0.0,1.0,0.9848648648648649,0.06915477497255763,0.5123490669593853,0.41849615806805707,0
15,15,2018-09-29 00:08:57.436022,0.49513513513513513,0.41702702702702704,0.07162162162162163,0.0,0.0,1.0,0.9837837837837838,0.07280219780219781,0.5032967032967033,0.4239010989010989,0
16,17,2018-10-31 00:09:08.912292,0.40864864864864864,0.45891891891891884,0.09108108108108108,0.02702702702702703,0.0,0.972972972972973,0.9586486486486485,0.09244203323707131,0.4147547603989668,0.46577617933693494,0
