,index,date,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0,2018-01-16 00:09:16.940377,0.44125,0.39849999999999997,0.14450000000000002,0.0,0.0,1.0,0.9842500000000001,0.14681229362458725,0.4483108966217932,0.40487680975361945,0
1,1,2018-02-01 00:09:07.083433,0.4795,0.3797499999999999,0.12325,0.0,0.0,1.0,0.9824999999999998,0.12544529262086515,0.48804071246819347,0.38651399491094146,0
2,2,2018-02-17 00:09:01.976812,0.4715,0.37024999999999997,0.11499999999999999,0.0,0.025,0.975,0.95675,0.1171936242487588,0.48049385941991113,0.37731251633132995,0
3,3,2018-03-05 00:08:54.336459,0.46575,0.34,0.17825000000000002,0.0,0.0,1.0,0.984,0.18114837398373987,0.4733231707317073,0.3455284552845529,0
4,4,2018-03-21 00:08:45.937021,0.50925,0.36174999999999996,0.11124999999999999,0.0,0.0,1.0,0.98225,0.1132603715958259,0.5184525324510053,0.3682870959531687,0
5,5,2018-04-06 00:08:38.542500,0.5215,0.36049999999999993,0.09975,0.0,0.0,1.0,0.9817499999999999,0.10160427807486633,0.5311942959001783,0.3672014260249554,0
6,6,2018-04-22 00:08:29.012551,0.5047499999999999,0.3395,0.08725000000000001,0.05,0.0,0.95,0.9315,0.08898282340311327,0.5147745571658614,0.34624261943102524,0
7,7,2018-05-08 00:08:20.037118,0.47074999999999995,0.30475,0.08275,0.125,0.0,0.875,0.85825,0.08436498689193125,0.47993737256044267,0.310697640547626,0
8,8,2018-05-24 00:08:08.223348,0.50575,0.30124999999999996,0.05175,0.125,0.0,0.875,0.8587499999999999,0.0527292576419214,0.5153202328966522,0.3069505094614265,0
9,9,2018-06-25 00:08:14.128035,0.40424999999999994,0.21225,0.0445,0.325,0.0,0.675,0.6609999999999999,0.04544251134644479,0.4128120272314675,0.21674546142208778,0
10,11,2018-07-27 00:08:28.778186,0.48699999999999993,0.30325,0.0675,0.125,0.0,0.875,0.8577499999999999,0.06885747595453222,0.49679393762751384,0.309348586417954,0
11,12,2018-08-12 00:08:38.464212,0.48925,0.32225000000000004,0.07175000000000001,0.1,0.0,0.9,0.8832500000000001,0.0731106708180017,0.49852816303424846,0.3283611661477498,0
12,13,2018-08-28 00:08:45.987519,0.47050000000000003,0.3675,0.09474999999999999,0.05,0.0,0.95,0.9327500000000001,0.09650227820959525,0.47920128651835964,0.374296435272045,0
13,14,2018-09-13 00:08:51.104027,0.38125,0.3035,0.12450000000000001,0.175,0.0,0.825,0.80925,0.12692307692307692,0.3886700648748841,0.3094068582020389,0
14,15,2018-09-29 00:08:57.436022,0.32775,0.27425,0.1105,0.225,0.05,0.725,0.7125,0.11243859649122806,0.33349999999999996,0.2790614035087719,0
15,17,2018-10-31 00:09:08.912292,0.217,0.25825,0.09125,0.225,0.2,0.5750000000000001,0.5665,0.09261915269196824,0.22025595763459843,0.2621248896734334,0
16,18,2018-11-16 00:09:10.449271,0.22974999999999998,0.27775,0.08325,0.15,0.25,0.6,0.59075,0.0845535336436733,0.23334743969530256,0.2820990266610241,0
17,20,2018-12-18 00:09:06.585180,0.22525,0.313,0.07749999999999999,0.125,0.25,0.625,0.61575,0.07866423061307347,0.22863377994315873,0.31770198944376776,0
18,21,2019-01-03 00:09:06.455172,0.366,0.44049999999999995,0.17875000000000002,0.0,0.0,1.0,0.98525,0.1814260340015225,0.37147931996955086,0.4470946460289266,0
19,22,2019-01-19 00:09:03.514993,0.4225,0.38525,0.177,0.0,0.0,1.0,0.98475,0.17974105102817972,0.429042904290429,0.3912160446813912,0
20,24,2019-02-20 00:08:57.733780,0.45325000000000004,0.368,0.11374999999999999,0.025,0.025,0.95,0.935,0.11557486631016041,0.46052139037433154,0.37390374331550796,0
21,28,2019-04-25 00:08:37.449457,0.45275,0.3335,0.0735,0.125,0.0,0.875,0.85975,0.07480372201221284,0.4607807502180867,0.3394155277697005,0
22,29,2019-05-11 00:08:45.859080,0.4272500000000001,0.24924999999999997,0.05900000000000001,0.25,0.0,0.75,0.7355000000000002,0.0601631543167913,0.4356730115567641,0.2541638341264445,0
23,30,2019-05-27 00:08:55.388517,0.44699999999999995,0.25,0.063,0.225,0.0,0.775,0.76,0.06424342105263157,0.45582236842105256,0.2549342105263158,0
24,31,2019-06-28 00:09:07.688160,0.44425,0.24299999999999997,0.0495,0.25,0.0,0.75,0.7367499999999999,0.05039022734984731,0.45223956565999324,0.24737020699015946,0
25,32,2019-07-30 00:09:16.532762,0.29474999999999996,0.15100000000000002,0.04475,0.5,0.0,0.5,0.4905,0.04561671763506626,0.30045871559633025,0.1539245667686035,0
26,33,2019-08-15 00:09:22.279891,0.40325,0.26275,0.06975,0.25,0.0,0.75,0.7357499999999999,0.07110091743119268,0.4110601427115189,0.2678389398572885,0
27,34,2019-08-31 00:09:26.088895,0.41224999999999995,0.31775,0.10525000000000002,0.15,0.0,0.85,0.83525,0.10710865010475908,0.4195300808141274,0.32336126908111334,0
28,36,2019-10-02 00:09:35.726140,0.22325,0.23724999999999996,0.08175,0.3,0.15,0.55,0.54225,0.08291839557399723,0.2264407561088059,0.24064084831719684,0
29,37,2019-10-18 00:09:37.926703,0.3,0.3005,0.1135,0.175,0.1,0.7250000000000001,0.7140000000000001,0.11524859943977592,0.3046218487394958,0.3051295518207283,0
30,38,2019-11-19 00:09:34.004270,0.352,0.41675000000000006,0.21525,0.0,0.0,1.0,0.984,0.21875,0.35772357723577236,0.4235264227642277,0
31,39,2019-12-05 00:09:33.231447,0.36475,0.4265,0.195,0.0,0.0,1.0,0.9862500000000001,0.19771863117870722,0.3698352344740177,0.43244613434727497,0
32,40,2020-01-22 00:09:22.956332,0.42824999999999996,0.42325,0.1325,0.0,0.0,1.0,0.984,0.13465447154471546,0.4352134146341463,0.43013211382113825,0
33,41,2020-02-07 00:09:17.619432,0.31775000000000003,0.5269999999999999,0.075,0.075,0.0,0.925,0.9197499999999998,0.07542810546344116,0.31956374014677913,0.5300081543897798,0
34,42,2020-02-23 00:09:14.210241,0.47675,0.3745,0.13175,0.0,0.0,1.0,0.9830000000000001,0.13402848423194302,0.4849949135300101,0.38097660223804675,0
35,43,2020-03-10 00:09:08.218991,0.5095,0.36,0.11325,0.0,0.0,1.0,0.9827499999999999,0.1152378529636225,0.5184431442381073,0.3663190027982702,0
36,44,2020-03-26 00:08:59.755154,0.5109999999999999,0.3525,0.11950000000000001,0.0,0.0,1.0,0.983,0.12156663275686674,0.5198372329603255,0.35859613428280773,0
37,46,2020-04-27 00:08:44.472092,0.54475,0.33724999999999994,0.075,0.025,0.0,0.975,0.9569999999999999,0.07641065830721004,0.5549960815047023,0.3435932601880878,0
38,48,2020-05-29 00:08:42.001792,0.362,0.194,0.05725,0.375,0.0,0.625,0.6132500000000001,0.0583469221361598,0.36893599673868727,0.19771708112515285,0
39,49,2020-06-14 00:08:52.343094,0.27175000000000005,0.137,0.03175,0.55,0.0,0.44999999999999996,0.44050000000000006,0.032434733257661746,0.2776106696935301,0.13995459704880817,0
40,50,2020-06-30 00:09:00.559818,0.329,0.16624999999999998,0.0455,0.45,0.0,0.55,0.54075,0.046278317152103565,0.33462783171521043,0.1690938511326861,0
41,53,2020-08-17 00:09:15.945742,0.40774999999999995,0.23075,0.073,0.275,0.0,0.725,0.7114999999999999,0.07438510189739987,0.415486647926915,0.2351282501756852,0
42,57,2020-10-20 00:09:34.421764,0.296,0.26749999999999996,0.0775,0.325,0.025,0.6499999999999999,0.6409999999999999,0.07858814352574103,0.30015600624024963,0.27125585023400933,0
43,58,2020-11-21 00:09:33.175996,0.2435,0.29525,0.10149999999999999,0.35,0.0,0.65,0.6402500000000001,0.1030456852791878,0.24720812182741114,0.299746192893401,0
44,60,2020-12-23 00:09:33.702305,0.4205,0.41500000000000004,0.14925,0.0,0.0,1.0,0.98475,0.15156130997715156,0.427011931962427,0.42142675806042146,0
45,61,2021-01-08 00:09:28.236068,0.41150000000000003,0.42650000000000005,0.14625000000000002,0.0,0.0,1.0,0.9842500000000001,0.14859029718059438,0.41808483616967235,0.4333248666497333,0
46,63,2021-02-09 00:09:20.495604,0.47350000000000003,0.404,0.10475000000000001,0.0,0.0,1.0,0.9822500000000001,0.10664291168236192,0.4820565029269534,0.41130058539068465,0
47,64,2021-02-25 00:09:15.243889,0.46175,0.37049999999999994,0.10175000000000001,0.025,0.025,0.95,0.9339999999999999,0.10349304068522486,0.4696600642398287,0.3768468950749464,0
48,66,2021-03-29 00:09:01.573921,0.49450000000000005,0.3715,0.0925,0.025,0.0,0.975,0.9585000000000001,0.09409233176838809,0.5030125195618153,0.3778951486697965,0
49,67,2021-04-14 00:08:56.174024,0.5239999999999999,0.35150000000000003,0.10700000000000001,0.0,0.0,1.0,0.9824999999999999,0.10890585241730281,0.5333333333333333,0.35776081424936396,0
50,68,2021-04-30 00:08:47.554868,0.4385,0.30999999999999994,0.1115,0.125,0.0,0.875,0.86,0.11344476744186048,0.4461482558139535,0.315406976744186,0
51,71,2021-07-03 00:09:08.202522,0.20675,0.13325,0.053250000000000006,0.6,0.0,0.4,0.39325,0.05416401780038145,0.21029879211697394,0.13553719008264464,0
52,73,2021-09-05 00:09:29.127387,0.3165,0.19625,0.076,0.4,0.0,0.6,0.58875,0.07745222929936306,0.32254777070063695,0.2,0
53,75,2021-10-07 00:09:37.756084,0.2125,0.1715,0.05825,0.5,0.05,0.44999999999999996,0.44225000000000003,0.05927077444884115,0.21622385528547197,0.1745053702656868,0
54,77,2021-11-08 00:09:38.086990,0.25875000000000004,0.22000000000000003,0.08725000000000001,0.225,0.2,0.5750000000000001,0.5660000000000001,0.08863736749116607,0.26286439929328625,0.2234982332155477,0
55,78,2021-12-10 00:09:35.692449,0.23099999999999996,0.20350000000000001,0.05725,0.45,0.05,0.49999999999999994,0.49175,0.058210472801220124,0.23487544483985756,0.2069140823589222,0
56,79,2021-12-26 00:09:31.490140,0.44525000000000003,0.3415,0.196,0.0,0.0,1.0,0.98275,0.1994403459679471,0.45306537776647166,0.3474942762655813,0
57,82,2022-02-12 00:09:20.103951,0.40599999999999997,0.29175,0.11225,0.175,0.0,0.825,0.8099999999999999,0.11432870370370371,0.4135185185185185,0.29715277777777777,0
58,84,2022-04-01 00:08:58.380695,0.49874999999999997,0.334,0.1005,0.05,0.0,0.95,0.93325,0.1023037771229574,0.5077015804982586,0.3399946423787838,0
59,85,2022-04-17 00:09:04.385974,0.49675,0.34900000000000003,0.09,0.05,0.0,0.95,0.93575,0.09137055837563451,0.5043147208121828,0.35431472081218274,0
60,86,2022-05-03 00:09:03.020719,0.48575,0.2945,0.07875000000000001,0.125,0.0,0.875,0.859,0.08021682188591386,0.49479772991850995,0.2999854481955762,0
61,87,2022-05-19 00:09:10.870085,0.5025000000000001,0.27799999999999997,0.07625000000000001,0.125,0.0,0.875,0.85675,0.07787423402392764,0.5132039684855559,0.28392179749051644,0
62,90,2022-07-06 00:09:28.925449,0.23925000000000002,0.12150000000000001,0.03175,0.6,0.0,0.4,0.3925,0.032356687898089175,0.2438216560509554,0.12382165605095544,0
63,91,2022-07-22 00:09:32.902242,0.3395,0.18849999999999997,0.036,0.425,0.0,0.575,0.5640000000000001,0.036702127659574466,0.3461214539007092,0.19217641843971625,0
64,93,2022-08-23 00:09:46.528770,0.14075,0.07449999999999998,0.030000000000000006,0.75,0.0,0.25,0.24524999999999997,0.030581039755351692,0.14347604485219165,0.07594291539245666,0
65,94,2022-09-24 00:09:53.368142,0.15325000000000003,0.09349999999999999,0.04775,0.675,0.025,0.29999999999999993,0.29450000000000004,0.04864176570458402,0.15611205432937178,0.09524617996604409,0
66,95,2022-10-10 00:09:47.269979,0.15050000000000002,0.09525,0.049,0.65,0.05,0.29999999999999993,0.29475,0.04987277353689566,0.15318066157760812,0.09694656488549616,0
67,97,2022-12-29 00:09:38.916154,0.3945,0.31799999999999995,0.124,0.15,0.0,0.85,0.8364999999999999,0.1260011954572624,0.4008667065152421,0.3231320980274955,0
68,98,2023-01-14 00:09:34.365577,0.48475,0.35125,0.12275,0.025,0.0,0.975,0.9587500000000001,0.12483050847457626,0.4929661016949152,0.3572033898305085,0
69,99,2023-01-30 00:09:37.209854,0.51425,0.34425,0.09975,0.025,0.0,0.975,0.95825,0.10149360813983825,0.5232389773023741,0.3502674145577876,0
70,100,2023-02-15 00:09:30.269117,0.48950000000000005,0.333,0.11000000000000001,0.05,0.0,0.95,0.9325,0.11206434316353887,0.498686327077748,0.33924932975871314,0
71,101,2023-03-03 00:09:17.022701,0.50075,0.34575,0.11000000000000001,0.0,0.025,0.975,0.9565,0.11212754835337167,0.5104351803450079,0.3524372713016205,0
72,102,2023-03-19 00:09:09.162513,0.507,0.29025,0.1855,0.0,0.0,1.0,0.98275,0.1887560417196642,0.5158992622742304,0.2953446960061053,0
73,103,2023-04-04 00:08:57.688606,0.5275000000000001,0.35675,0.097,0.0,0.0,1.0,0.9812500000000001,0.09885350318471338,0.5375796178343949,0.3635668789808917,0
74,104,2023-04-20 00:08:44.582861,0.52375,0.317,0.06625,0.075,0.0,0.925,0.9070000000000001,0.06756477398015434,0.5341441565600882,0.32329106945975744,0
75,106,2023-05-22 00:08:31.791855,0.48125,0.27999999999999997,0.072,0.15,0.0,0.85,0.8332499999999999,0.07344734473447345,0.490924092409241,0.28562856285628563,0
76,107,2023-07-25 00:09:00.219156,0.17375,0.08049999999999999,0.01575,0.725,0.0,0.275,0.26999999999999996,0.01604166666666667,0.17696759259259262,0.08199074074074075,0
77,108,2023-08-10 00:09:05.504033,0.23650000000000002,0.1155,0.039749999999999994,0.6,0.0,0.4,0.39175000000000004,0.040587109125717925,0.24148053605615827,0.1179323548181238,0
78,109,2023-08-26 00:09:14.234097,0.27275,0.157,0.0605,0.475,0.025,0.5,0.49024999999999996,0.06170321264660888,0.27817440081591027,0.1601223865374809,0
79,110,2023-09-11 00:09:15.405976,0.28425,0.162,0.06925,0.375,0.1,0.525,0.5155000000000001,0.07052618816682832,0.28948836081474294,0.1649854510184287,0
80,113,2023-11-30 00:09:27.114766,0.27525,0.2325,0.05775,0.275,0.15,0.575,0.5655,0.05872015915119363,0.27987400530503975,0.23640583554376657,0
81,115,2024-01-01 00:09:22.123303,0.39025000000000004,0.41899999999999993,0.17350000000000002,0.0,0.0,1.0,0.98275,0.1765454082930552,0.3970999745611804,0.42635461714576434,0
