,index,date,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0,2018-01-16 00:09:16.940377,0.41,0.34550000000000003,0.07875000000000001,0.025,0.125,0.85,0.83425,0.0802367395864549,0.41774048546598735,0.3520227749475577,0
1,1,2018-02-01 00:09:07.083433,0.43725,0.32075,0.077,0.0,0.15,0.85,0.835,0.07838323353293414,0.4451047904191617,0.32651197604790416,0
2,2,2018-02-17 00:09:01.976812,0.4327500000000001,0.30975,0.06675,0.025,0.15,0.825,0.8092500000000001,0.06804911955514364,0.4411723818350324,0.3157784986098239,0
3,3,2018-03-05 00:08:54.336459,0.42474999999999996,0.26675000000000004,0.06875,0.0,0.225,0.775,0.76025,0.07008385399539627,0.4329907925024663,0.27192535350213753,0
4,4,2018-03-21 00:08:45.937021,0.41974999999999996,0.28125,0.059750000000000004,0.05,0.175,0.7749999999999999,0.7607499999999999,0.06086920801840289,0.4276125534012487,0.28651823858034836,0
5,5,2018-04-06 00:08:38.542500,0.41225000000000006,0.24475000000000002,0.052500000000000005,0.075,0.2,0.7250000000000001,0.7095,0.05364693446088796,0.42125616631430596,0.2500968992248062,0
6,6,2018-04-22 00:08:29.012551,0.42699999999999994,0.22949999999999998,0.05425,0.075,0.2,0.7250000000000001,0.7107499999999999,0.0553376714737953,0.43556102708406624,0.23410130144213864,0
7,7,2018-05-08 00:08:20.037118,0.367,0.1965,0.0475,0.25,0.125,0.625,0.611,0.04858837970540098,0.37540916530278234,0.2010024549918167,0
8,8,2018-05-24 00:08:08.223348,0.39525000000000005,0.22774999999999998,0.03925,0.25,0.075,0.675,0.66225,0.04000566251415629,0.40285956964892417,0.23213476783691958,0
9,9,2018-06-25 00:08:14.128035,0.2425,0.1355,0.0385,0.475,0.1,0.42500000000000004,0.4165,0.03928571428571429,0.24744897959183676,0.13826530612244903,0
10,10,2018-07-11 00:08:22.534426,0.30425,0.15225,0.059250000000000004,0.3,0.175,0.5249999999999999,0.51575,0.06031265147842946,0.30970673776054286,0.1549806107610276,0
11,11,2018-07-27 00:08:28.778186,0.37275,0.19975000000000004,0.06525,0.15,0.2,0.65,0.63775,0.06650333202665622,0.3799098392787143,0.2035868286946296,0
12,12,2018-08-12 00:08:38.464212,0.37424999999999997,0.18025,0.057499999999999996,0.1,0.275,0.625,0.612,0.05872140522875817,0.38219975490196073,0.18407883986928106,0
13,13,2018-08-28 00:08:45.987519,0.37825000000000003,0.263,0.071,0.025,0.25,0.725,0.71225,0.07227097227097225,0.38502106002106,0.26770796770796773,0
14,14,2018-09-13 00:08:51.104027,0.34750000000000003,0.25975000000000004,0.08049999999999999,0.05,0.25,0.7,0.6877500000000001,0.08193384223918572,0.3536895674300254,0.2643765903307888,0
15,15,2018-09-29 00:08:57.436022,0.34975000000000006,0.30599999999999994,0.081,0.025,0.225,0.75,0.73675,0.08245673566338649,0.35604004071937567,0.3115032236172378,0
16,17,2018-10-31 00:09:08.912292,0.3015,0.36075,0.07625000000000001,0.0,0.25,0.75,0.7385,0.0774373730534868,0.3061949898442789,0.36636763710223424,0
17,18,2018-11-16 00:09:10.449271,0.297,0.34950000000000003,0.0685,0.0,0.275,0.725,0.7150000000000001,0.06945804195804195,0.3011538461538461,0.35438811188811187,0
18,20,2018-12-18 00:09:06.585180,0.302,0.41325,0.07275000000000001,0.025,0.175,0.7999999999999999,0.7879999999999999,0.07385786802030458,0.3065989847715736,0.41954314720812186,0
19,21,2019-01-03 00:09:06.455172,0.31225,0.44000000000000006,0.08499999999999999,0.0,0.15,0.85,0.83725,0.0862944162436548,0.31700507614213197,0.4467005076142132,0
20,22,2019-01-19 00:09:03.514993,0.359,0.36674999999999996,0.08625000000000001,0.025,0.15,0.825,0.8119999999999999,0.08763084975369459,0.3647475369458128,0.37262161330049254,0
21,23,2019-02-04 00:09:00.165996,0.43324999999999997,0.39649999999999996,0.05625,0.075,0.025,0.9,0.886,0.057138826185101584,0.44009593679458237,0.40276523702031597,0
22,24,2019-02-20 00:08:57.733780,0.41875,0.312,0.07975000000000002,0.0,0.175,0.825,0.8105,0.08117674275138805,0.42624151758173967,0.3175817396668723,0
23,27,2019-04-09 00:08:44.355504,0.41600000000000004,0.254,0.06625,0.05,0.2,0.75,0.7362500000000001,0.06748726655348047,0.42376910016977926,0.2587436332767402,0
24,28,2019-04-25 00:08:37.449457,0.42774999999999996,0.257,0.052750000000000005,0.125,0.125,0.75,0.7374999999999999,0.05364406779661018,0.43499999999999994,0.2613559322033899,0
25,29,2019-05-11 00:08:45.859080,0.3115,0.188,0.041,0.35,0.1,0.55,0.5405,0.04172062904717854,0.31697502312673453,0.19130434782608696,0
26,30,2019-05-27 00:08:55.388517,0.16824999999999998,0.0955,0.03075,0.625,0.075,0.30000000000000004,0.2945,0.03132427843803057,0.17139219015280138,0.0972835314091681,0
27,31,2019-06-28 00:09:07.688160,0.39349999999999996,0.196,0.04825,0.275,0.075,0.65,0.6377499999999999,0.04917679341434732,0.40105840846726776,0.199764798118385,0
28,32,2019-07-30 00:09:16.532762,0.16875,0.06500000000000002,0.036250000000000004,0.525,0.2,0.275,0.27,0.036921296296296306,0.171875,0.06620370370370372,0
29,33,2019-08-15 00:09:22.279891,0.34475,0.17024999999999998,0.05,0.15,0.275,0.575,0.5650000000000001,0.050884955752212385,0.35085176991150435,0.17326327433628314,0
30,34,2019-08-31 00:09:26.088895,0.38925,0.22774999999999998,0.07025,0.025,0.275,0.7,0.68725,0.07155329210622045,0.39647144416151325,0.23197526373226623,0
31,36,2019-10-02 00:09:35.726140,0.36524999999999996,0.26675,0.07925,0.025,0.25,0.725,0.7112499999999999,0.08078207381370826,0.372311072056239,0.2719068541300527,0
32,37,2019-10-18 00:09:37.926703,0.3605,0.302,0.075,0.025,0.225,0.75,0.7374999999999999,0.07627118644067797,0.3666101694915254,0.30711864406779665,0
33,38,2019-11-19 00:09:34.004270,0.31575,0.369,0.0805,0.025,0.2,0.775,0.76525,0.08152564521398237,0.31977295001633455,0.3737014047696831,0
34,39,2019-12-05 00:09:33.231447,0.32375,0.36275,0.0765,0.025,0.2,0.775,0.763,0.07770314547837483,0.328841743119266,0.3684551114023591,0
35,40,2020-01-22 00:09:22.956332,0.386,0.34850000000000003,0.07525000000000001,0.025,0.15,0.825,0.8097500000000001,0.07666718122877432,0.39326952763198514,0.3550632911392405,0
36,41,2020-02-07 00:09:17.619432,0.2935,0.36049999999999993,0.01625,0.075,0.25,0.675,0.6702499999999999,0.016365162252890714,0.29558000745990304,0.3630548302872063,0
37,42,2020-02-23 00:09:14.210241,0.3775,0.331,0.07725,0.0,0.2,0.8,0.7857500000000001,0.0786509704104359,0.3843461660833598,0.3370028635062043,0
38,43,2020-03-10 00:09:08.218991,0.3975,0.3215,0.06775,0.025,0.175,0.7999999999999999,0.7867500000000001,0.06889100730854782,0.4041944709246902,0.32691452176676195,0
39,44,2020-03-26 00:08:59.755154,0.39649999999999996,0.304,0.08574999999999999,0.05,0.15,0.7999999999999999,0.7862499999999999,0.08724960254372019,0.4034340222575516,0.3093163751987282,0
40,46,2020-04-27 00:08:44.472092,0.40575,0.23125,0.051000000000000004,0.125,0.175,0.7,0.6880000000000001,0.051889534883720924,0.41282703488372086,0.23528343023255813,0
41,48,2020-05-29 00:08:42.001792,0.24675000000000002,0.14150000000000001,0.05325,0.4,0.15,0.44999999999999996,0.44150000000000006,0.054275198187995456,0.2515005662514156,0.1442242355605889,0
42,49,2020-06-14 00:08:52.343094,0.199,0.09875,0.0455,0.475,0.175,0.35,0.34325,0.04639475600873998,0.20291332847778587,0.10069191551347415,0
43,50,2020-06-30 00:09:00.559818,0.1835,0.07975000000000002,0.031,0.475,0.225,0.30000000000000004,0.29425,0.03160577740016993,0.18708581138487682,0.08130841121495329,0
44,53,2020-08-17 00:09:15.945742,0.24925000000000003,0.09224999999999998,0.051000000000000004,0.325,0.275,0.39999999999999997,0.3925,0.051974522292993625,0.2540127388535032,0.09401273885350316,0
45,57,2020-10-20 00:09:34.421764,0.38925,0.26050000000000006,0.0625,0.075,0.2,0.7250000000000001,0.71225,0.06361881361881362,0.3962179712179712,0.2651632151632152,0
46,58,2020-11-21 00:09:33.175996,0.31850000000000006,0.313,0.057999999999999996,0.0,0.3,0.7,0.6895,0.058883248730964455,0.32335025380710664,0.3177664974619289,0
47,60,2020-12-23 00:09:33.702305,0.331,0.383,0.07350000000000001,0.0,0.2,0.8,0.7875,0.07466666666666669,0.3362539682539683,0.38907936507936514,0
48,61,2021-01-08 00:09:28.236068,0.3255,0.41875,0.06925,0.0,0.175,0.825,0.8135000000000001,0.07022894898586354,0.3301014136447449,0.42466963736939145,0
49,63,2021-02-09 00:09:20.495604,0.36500000000000005,0.3955,0.077,0.025,0.125,0.85,0.8375,0.07814925373134328,0.3704477611940299,0.40140298507462685,0
50,64,2021-02-25 00:09:15.243889,0.38325000000000004,0.35575,0.07225000000000001,0.025,0.15,0.825,0.8112500000000001,0.07347457627118643,0.38974576271186434,0.3617796610169491,0
51,65,2021-03-13 00:09:06.655501,0.4135,0.34049999999999997,0.05550000000000001,0.0,0.175,0.825,0.8095,0.05656269302038296,0.4214175416924027,0.3470197652872143,0
52,66,2021-03-29 00:09:01.573921,0.38225000000000003,0.30100000000000005,0.079,0.025,0.2,0.775,0.7622500000000001,0.08032141685798622,0.38864381764512956,0.30603476549688424,0
